*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=led_grid
*Date=01:02:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;76.0222;-69.2534;0;Bottom;Copper Fill370
2;;;74.4254;-129.285;0;Bottom;Via166
3;;;146.101;-69.1772;0;Bottom;Copper Fill376
4;;5050;46.0623;-98.7774;0;Top;RGB SMD LED73
5;;5050;76.1387;-138.814;0;Top;RGB SMD LED6
6;;;166.776;-33.033;0;Bottom;Copper Fill216
7;;;163.239;-12.3641;0;Bottom;Via588
8;;;84.5196;-79.3354;0;Bottom;Via416
9;;;45.2374;-63.64;0;Bottom;Copper Fill133
10;;5050;56.0914;-88.8325;0;Top;RGB SMD LED125
11;;;174.879;-22.9111;0;Bottom;Copper Fill248
12;;5050;136.02;-58.7905;0;Top;RGB SMD LED121
13;;;154.465;-69.5025;0;Bottom;Via332
14;;5050;26.0915;-78.8325;0;Top;RGB SMD LED98
15;;;136.779;-54.3436;0;Bottom;Copper Fill149
16;;;105.962;-49.3456;0;Bottom;Via505
17;;;126.898;-122.898;0;Bottom;Copper Fill36
18;;;154.537;-89.7305;0;Bottom;Via331
19;;;177.753;-139.24;0;Bottom;Via7
20;;5050;146.062;-98.7774;0;Top;RGB SMD LED84
21;;;26.0858;-79.5658;0;Bottom;Copper Fill351
22;;;36.1696;-119.291;0;Bottom;Copper Fill289
23;;;116.739;-23.3641;0;Bottom;Via578
24;;;97.6731;-99.2801;0;Bottom;Via247
25;;;55.9503;-67.862;0;Bottom;Via445
26;;;166.827;-53.5562;0;Bottom;Copper Fill164
27;;;117.641;-50.4618;0;Bottom;Via501
28;;;45.2374;-73.6984;0;Bottom;Copper Fill115
29;;;176.047;-50.305;0;Bottom;Copper Fill411
30;;;116.053;-40.5768;0;Bottom;Copper Fill430
31;;;115.316;-122.441;0;Bottom;Copper Fill37
32;;;25.2984;-83.833;0;Bottom;Copper Fill93
33;;;137.712;-89.4398;0;Bottom;Via348
34;;5050;96.0329;-39.8169;0;Top;RGB SMD LED32
35;;;167.617;-50.4923;0;Bottom;Via486
36;;;136.804;-63.7416;0;Bottom;Copper Fill130
37;;;176.987;-12.4463;0;Bottom;Copper Fill461
38;;;76.2;-119.393;0;Bottom;Copper Fill293
39;;;146.152;-139.23;0;Bottom;Copper Fill271
40;;;113.739;-23.3641;0;Bottom;Via577
41;;;156.134;-79.5658;0;Bottom;Copper Fill363
42;;;77.7694;-129.382;0;Bottom;Via162
43;;;166.065;-109.335;0;Bottom;Copper Fill317
44;;;17.7389;-33.3641;0;Bottom;Via549
45;;;144.381;-99.2208;0;Bottom;Via219
46;;0805;21.7389;-18.7641;90;Bottom;C2
47;;;37.5818;-69.2674;0;Bottom;Via470
48;;;137.606;-50.4189;0;Bottom;Via495
49;;;62.2255;-24.1134;0;Bottom;Via582
50;;;95.25;-63.5892;0;Bottom;Copper Fill131
51;;;36.0172;-69.3296;0;Bottom;Copper Fill367
52;;;97.7982;-139.353;0;Bottom;Via55
53;;;67.7212;-109.325;0;Bottom;Via264
54;;;166.098;-108.01;0;Bottom;Via206
55;;;56.1848;-99.454;0;Bottom;Copper Fill322
56;;;84.562;-119.322;0;Bottom;Via160
57;;;60.9854;-38.7988;0;Bottom;Copper Fill415
58;;5050;116.062;-108.777;0;Top;RGB SMD LED70
59;;;44.4384;-79.4322;0;Bottom;Via465
60;;cap-pth-large;174.938;-15.3641;180;Bottom;C5 0.1uF
61;;;105.613;-20.9172;0;Bottom;Copper Fill221
62;;;174.497;-119.262;0;Bottom;Via105
63;;;57.5056;-29.6167;0;Bottom;Copper Fill236
64;;;87.5922;-98.9894;0;Bottom;Via253
65;;;177.733;-99.5053;0;Bottom;Via203
66;;;179.616;-14.5926;0;Bottom;Copper Fill464
67;;;85.2678;-33.5156;0;Bottom;Copper Fill208
68;;;93.7389;-23.3641;0;Bottom;Via571
69;;;37.7006;-139.402;0;Bottom;Via92
70;;;106.184;-127.899;0;Bottom;Via145
71;;;157.638;-69.0583;0;Bottom;Via325
72;;;19.2278;-19.7107;0;Bottom;Copper Fill232
73;;;24.5433;-138.938;0;Bottom;Via1
74;;5050;36.0623;-108.777;0;Top;RGB SMD LED72
75;;;96.1136;-119.444;0;Bottom;Copper Fill294
76;;;127.75;-119.435;0;Bottom;Via137
77;220;1206 [SMD];132.339;-22.6641;0;Bottom;R5 3kOhm
78;;;145.237;-63.5384;0;Bottom;Copper Fill132
79;;;176.098;-69.2534;0;Bottom;Copper Fill379
80;;;167.708;-129.283;0;Bottom;Via108
81;;;127.679;-109.324;0;Bottom;Via228
82;;;176.079;-107.949;0;Bottom;Via199
83;;;66.167;-129.375;0;Bottom;Copper Fill277
84;;;115.316;-93.8914;0;Bottom;Copper Fill70
85;;;115.316;-113.907;0;Bottom;Copper Fill38
86;;;134.534;-119.349;0;Bottom;Via129
87;;;136.093;-89.4718;0;Bottom;Copper Fill346
88;;;105.258;-73.8762;0;Bottom;Copper Fill113
89;;;104.613;-139.475;0;Bottom;Via51
90;;;157.709;-89.2863;0;Bottom;Via326
91;;5050;146.062;-108.777;0;Top;RGB SMD LED83
92;;5050;126.033;-39.8169;0;Top;RGB SMD LED22
93;;5050;166.028;-49.8037;0;Top;RGB SMD LED174
94;;;66.0312;-58.2269;0;Bottom;Via439
95;;5050;86.1336;-118.819;0;Top;RGB SMD LED57
96;;;76.1746;-139.332;0;Bottom;Copper Fill264
97;;;96.0628;-99.4032;0;Bottom;Copper Fill326
98;;5050;136.091;-78.8325;0;Top;RGB SMD LED122
99;;sot23-3;7.78886;-41.3641;-90;Top;Q11
100;;;134.42;-109.452;0;Bottom;Via226
101;;;27.5963;-99.2084;0;Bottom;Via197
102;;usb-microb;196.49;-29.1141;-90;Bottom;X1
103;;;175.108;-32.652;0;Bottom;Copper Fill214
104;;DIP (Dual Inline) [THT];30.5489;-15.0941;180;Bottom;MCP7940M Addr 0xDE
105;;;25.2984;-93.739;0;Bottom;Copper Fill74
106;;;76.1339;-137.948;0;Bottom;Via69
107;;;164.401;-69.3916;0;Bottom;Via320
108;;;25.3492;-126.48;0;Bottom;Copper Fill23
109;;5050;106.139;-138.814;0;Top;RGB SMD LED9
110;;;77.7418;-14.3623;0;Bottom;Via541
111;;;107.68;-50.3331;0;Bottom;Via506
112;;;145.288;-103.645;0;Bottom;Copper Fill62
113;;;64.4547;-89.5925;0;Bottom;Via435
114;;5050;136.134;-128.819;0;Top;RGB SMD LED46
115;;;98.6917;-24.905;0;Bottom;Copper Fill453
116;;;164.433;-59.2488;0;Bottom;Via321
117;;5050;126.091;-88.8325;0;Top;RGB SMD LED115
